Assessment_Name,Assessment_url,Description,Duration,Test_Type,Adaptive
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,"AngularJS (New): Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Apache HBase (New): Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,"Apache Hadoop Extensions (New): Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Apache Hive (New): Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Apache Spark (New): Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Apache Pig (New): Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"Assessment and Development Center Exercises: SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"ASP.NET 4.5: The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Apache Kafka (New): Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Automata Data Science (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,Automata (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Automata Data Science Pro (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"ASP .NET with C# (New): Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,Automata Pro (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,Automata Selenium: A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,"Automata Front End: Simulation based test that measures the front-end development capabilities using HTML, CSS, and  JavaScript. The candidate is provided with 3 different…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"Basic Computer Literacy (Windows 10) (New): The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Basic Biology (New): Multi choice test that measures the candidate's basic understanding of Biology.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Biochemistry (New): Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,"Automation Anywhere RPA Development (New): Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,"Automata - SQL (New): A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,"Cardiology and Diabetes Management (New): Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,"Ceramic Engineering (New): Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,"Automotive Engineering (New): Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,"Biotech Lab Techniques (New): Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,"COBOL Programming (New): Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,"Computer Science (New): Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Contact Center Call Simulation (New): Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Contact Center Customer Service 8.0  : The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Contact Center Manager - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form/,"Contact Center Manager - Short Form: The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample  tasks for these jobs include, but are not limited…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/,"Contact Center Sales & Service + 8.0 : The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"Customer Service Phone Simulation: As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,CSS3 (New): Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,"Culinary Skills (New): Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,Customer Service - Short Form: The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Data Entry Ten Key Split Screen: Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Dependability and Safety Instrument (DSI): The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,"Dermatology (New): Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New): Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,Digital Readiness Development Report - IC: This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,"Docker (New): Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
District/Regional Manager Solution,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/,District/Regional Manager Solution: The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area.  Sample tasks for…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,"Econometrics (New): Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,"Economics (New): Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,"Electrical Engineering (New): Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Enterprise Leadership Report 2.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,"Electronics & Telecommunications Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,"Entry Level Cashier 7.1 (Americas): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Entry Level Customer Service 7.1 (Americas): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Entry level Sales 7.1 (Americas): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Entry Level Hotel Front Desk Solution: The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,Entry level Sales 7.1 (International): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Entry Level Sales Sift Out 7.1: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,Manufacturing & Industrial - Essential Focus 8.0: The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors   that underlie successful and safe performance in an…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Executive Scenarios Narrative Report: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,Event Sales Manager Solution: The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,"Executive - Short Form: The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,"Financial Accounting (New): Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,Filing - Names (R1): This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,"Financial and Banking Services (New): Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,Financial Services Representative Solution: The Financial Services Representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,Following Instructions v1 - UK (R1): This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,"Food and Beverage Services (New): Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,Front Desk Associate Solution: The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,Gaming Associate Solution: The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,"Fundamentals of Physics (New): Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,"Gaming Manager Solution: The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors…",N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,General Entry Level - All Industries 7.1(Americas): Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of…,N/A,"[""Skill"", ""Behavior"", ""Ability"", ""Personality""]",No
